Access ID,Customer ID ,Product Group ID,Access Date,Page Views,Time Spent,Device Used,Referrer URL,Session Duration,Conversion Rate,Bounce Rate
46,46,46,5/10/2023,800,18,Desktop,ABC.com,20 minutes,9%,60%
47,47,47,11/25/2023,50,15,Smartphone,ABC.com,15 minutes,6%,90%
48,48,48,4/2/2023,10,3,Desktop,ABC.com,15 minutes,9%,70%
49,49,49,4/19/2023,80,6,Desktop,ABC.com,10 minutes,4%,20%
50,50,50,3/23/2023,10,12,Desktop,ABC.com,29 minutes,2%,50%
51,51,51,6/25/2023,50,14,Desktop,ABC.com,8 minutes,8%,30%
52,52,52,11/16/2023,40,10,Desktop,ABC.com,8 minutes,3%,40%
53,53,53,11/28/2023,10,14,Desktop,ABC.com,20 minutes,1%,70%
54,54,54,10/21/2023,800,20,Smartphone,ABC.com,10 minutes,6%,50%
55,55,55,3/8/2023,60,10,Tablet,ABC.com,10 minutes,2%,70%
56,56,56,11/26/2023,500,6,Laptop,ABC.com,8 minutes,2%,70%
57,57,57,7/22/2023,70,3,Desktop,ABC.com,12 minutes,2%,40%
58,58,58,9/1/2023,80,10,Smartphone,ABC.com,15 minutes,2%,60%
59,59,59,11/28/2023,40,15,Smartphone,ABC.com,29 minutes,8%,70%
60,60,60,5/7/2023,100,10,Tablet,ABC.com,8 minutes,7%,40%
61,61,61,2/2/2023,500,18,Laptop,ABC.com,10 minutes,7%,60%
62,62,62,3/2/2023,100,15,Desktop,ABC.com,12 minutes,4%,90%
63,63,63,4/19/2023,80,10,Desktop,ABC.com,15 minutes,6%,50%
64,64,64,8/4/2023,600,14,Laptop,ABC.com,20 minutes,5%,40%
65,65,65,7/24/2023,200,20,Tablet,ABC.com,15 minutes,1%,20%
66,66,66,11/25/2023,70,18,Laptop,ABC.com,10 minutes,1%,50%
67,67,67,7/27/2023,600,9,Tablet,ABC.com,15 minutes,4%,70%
68,68,68,9/22/2023,70,18,Desktop,ABC.com,8 minutes,1%,70%
69,69,69,12/25/2023,100,18,Desktop,ABC.com,11 minutes,5%,60%
70,70,70,1/11/2023,70,10,Laptop,ABC.com,12 minutes,4%,60%
71,71,71,12/28/2023,400,13,Desktop,ABC.com,15 minutes,8%,50%
72,72,72,5/11/2023,90,16,Smartphone,ABC.com,11 minutes,5%,60%
73,73,73,12/29/2023,10,6,Desktop,ABC.com,12 minutes,9%,50%
74,74,74,4/12/2023,100,15,Tablet,ABC.com,15 minutes,1%,50%
75,75,75,9/23/2023,90,13,Tablet,ABC.com,8 minutes,8%,40%
76,76,76,2/18/2023,40,16,Desktop,ABC.com,10 minutes,5%,70%
77,77,77,11/19/2023,60,3,Desktop,ABC.com,11 minutes,5%,70%
78,78,78,11/19/2023,900,6,Tablet,ABC.com,29 minutes,1%,90%
79,79,79,5/26/2023,600,9,Smartphone,ABC.com,8 minutes,3%,20%
80,80,80,5/24/2023,40,20,Smartphone,ABC.com,8 minutes,3%,30%
81,81,81,4/1/2023,30,15,Tablet,ABC.com,12 minutes,2%,50%
82,82,82,3/21/2023,20,20,Tablet,ABC.com,29 minutes,5%,90%
83,83,83,11/1/2023,60,13,Smartphone,ABC.com,29 minutes,8%,90%
84,84,84,6/30/2023,600,9,Tablet,ABC.com,10 minutes,8%,40%
85,85,85,8/18/2023,700,9,Tablet,ABC.com,15 minutes,1%,50%
86,86,86,8/1/2023,10,3,Smartphone,ABC.com,20 minutes,7%,40%
87,87,87,12/5/2023,90,15,Smartphone,ABC.com,10 minutes,6%,20%
88,88,88,10/14/2023,10,12,Laptop,ABC.com,29 minutes,1%,40%
89,89,89,5/24/2023,30,20,Laptop,ABC.com,11 minutes,7%,40%
90,90,90,2/28/2023,60,9,Smartphone,ABC.com,8 minutes,5%,60%
91,91,91,9/24/2023,600,3,Tablet,ABC.com,15 minutes,3%,40%
92,92,92,12/8/2023,40,14,Laptop,ABC.com,11 minutes,5%,90%
93,93,93,4/17/2023,50,16,Desktop,ABC.com,12 minutes,5%,40%
94,94,94,3/4/2023,600,14,Tablet,ABC.com,20 minutes,7%,90%
95,95,95,5/14/2023,20,3,Desktop,ABC.com,29 minutes,5%,70%
96,96,96,3/16/2023,20,3,Laptop,ABC.com,11 minutes,3%,40%
97,97,97,11/2/2023,50,13,Desktop,ABC.com,11 minutes,9%,30%
98,98,98,8/12/2023,80,3,Laptop,ABC.com,11 minutes,7%,50%
99,99,99,4/23/2023,600,15,Desktop,ABC.com,10 minutes,1%,90%
100,100,100,11/10/2023,900,6,Smartphone,ABC.com,8 minutes,7%,40%
101,101,101,12/10/2023,100,10,Tablet,ABC.com,29 minutes,4%,20%
102,102,102,7/28/2023,20,18,Smartphone,ABC.com,12 minutes,8%,90%
103,103,103,3/1/2023,700,20,Tablet,ABC.com,15 minutes,1%,90%
104,104,104,2/1/2023,400,18,Smartphone,ABC.com,8 minutes,4%,60%
105,105,105,6/15/2023,1000,6,Smartphone,ABC.com,12 minutes,9%,60%
106,106,106,8/16/2023,100,6,Desktop,ABC.com,11 minutes,3%,50%
107,107,107,8/6/2023,90,13,Desktop,ABC.com,15 minutes,5%,20%
108,108,108,7/31/2023,70,16,Smartphone,ABC.com,20 minutes,6%,50%
109,109,109,5/18/2023,50,13,Laptop,ABC.com,20 minutes,9%,60%
110,110,110,4/23/2023,90,11,Laptop,ABC.com,10 minutes,6%,60%
111,111,111,10/23/2023,90,15,Tablet,ABC.com,10 minutes,9%,30%
112,112,112,11/26/2023,40,6,Desktop,ABC.com,11 minutes,6%,70%
113,113,113,4/29/2023,800,6,Tablet,ABC.com,11 minutes,8%,90%
114,114,114,4/14/2023,80,13,Tablet,ABC.com,15 minutes,8%,70%
115,115,115,11/30/2023,10,13,Desktop,ABC.com,29 minutes,4%,60%
116,116,116,4/4/2023,200,9,Laptop,ABC.com,20 minutes,5%,20%
117,117,117,4/7/2023,600,6,Desktop,ABC.com,20 minutes,1%,20%
118,118,118,6/17/2023,500,3,Laptop,ABC.com,12 minutes,6%,60%
119,119,119,9/15/2023,50,6,Desktop,ABC.com,15 minutes,5%,20%
120,120,120,12/6/2023,90,6,Desktop,ABC.com,12 minutes,8%,50%
121,121,121,10/26/2023,800,18,Laptop,ABC.com,20 minutes,1%,40%
122,122,122,7/24/2023,20,12,Smartphone,ABC.com,12 minutes,1%,40%
123,123,123,6/6/2023,60,16,Tablet,ABC.com,29 minutes,1%,20%
124,124,124,4/1/2023,20,14,Tablet,ABC.com,20 minutes,9%,20%
125,125,125,9/3/2023,90,12,Tablet,ABC.com,12 minutes,2%,60%
126,126,126,11/26/2023,100,11,Smartphone,ABC.com,29 minutes,1%,60%
127,127,127,10/17/2023,70,3,Smartphone,ABC.com,11 minutes,7%,90%
128,128,128,11/1/2023,1000,6,Laptop,ABC.com,15 minutes,7%,40%
129,129,129,10/13/2023,90,20,Tablet,ABC.com,29 minutes,5%,70%
130,130,130,2/1/2023,500,20,Desktop,ABC.com,15 minutes,8%,20%
131,131,131,8/15/2023,90,15,Desktop,ABC.com,8 minutes,7%,90%
132,132,132,5/26/2023,400,14,Smartphone,ABC.com,10 minutes,7%,70%
133,133,133,7/18/2023,60,16,Laptop,ABC.com,29 minutes,3%,60%
134,134,134,3/25/2023,700,18,Desktop,ABC.com,10 minutes,5%,20%
135,135,135,10/22/2023,700,20,Desktop,ABC.com,11 minutes,5%,90%
136,136,136,12/11/2023,400,6,Desktop,ABC.com,12 minutes,3%,30%
137,137,137,9/26/2023,500,15,Laptop,ABC.com,8 minutes,1%,90%
138,138,138,6/11/2023,30,11,Tablet,ABC.com,29 minutes,2%,60%
139,139,139,3/26/2023,800,9,Desktop,ABC.com,20 minutes,9%,50%
140,140,140,6/28/2023,1000,16,Smartphone,ABC.com,11 minutes,7%,30%
141,141,141,11/19/2023,80,3,Laptop,ABC.com,8 minutes,7%,60%
142,142,142,11/6/2023,50,20,Desktop,ABC.com,20 minutes,7%,60%
143,143,143,8/12/2023,50,16,Desktop,ABC.com,8 minutes,2%,60%
144,144,144,5/30/2023,100,3,Laptop,ABC.com,12 minutes,3%,40%
145,145,145,12/11/2023,200,16,Desktop,ABC.com,8 minutes,3%,20%
146,146,146,2/21/2023,700,11,Smartphone,ABC.com,8 minutes,8%,30%
147,147,147,6/15/2023,800,10,Desktop,ABC.com,11 minutes,7%,40%
148,148,148,8/8/2023,40,11,Laptop,ABC.com,12 minutes,5%,20%
149,149,149,1/20/2023,80,10,Tablet,ABC.com,10 minutes,7%,90%
150,150,150,6/26/2023,60,12,Desktop,ABC.com,15 minutes,4%,50%
151,151,151,3/8/2023,300,12,Smartphone,ABC.com,20 minutes,3%,50%
152,152,152,4/4/2023,10,18,Desktop,ABC.com,10 minutes,9%,40%
153,153,153,8/13/2023,800,18,Laptop,ABC.com,29 minutes,8%,70%
154,154,154,7/10/2023,1000,16,Tablet,ABC.com,29 minutes,1%,90%
155,155,155,1/25/2023,200,20,Desktop,ABC.com,8 minutes,6%,30%
156,156,156,2/13/2023,70,6,Smartphone,ABC.com,20 minutes,4%,40%
157,157,157,2/25/2023,30,12,Desktop,ABC.com,20 minutes,1%,20%
158,158,158,12/27/2023,100,9,Tablet,ABC.com,20 minutes,6%,50%
159,159,159,3/24/2023,100,13,Desktop,ABC.com,8 minutes,2%,90%
160,160,160,8/31/2023,400,11,Tablet,ABC.com,11 minutes,2%,70%
161,161,161,11/2/2023,50,18,Desktop,ABC.com,12 minutes,2%,90%
162,162,162,5/11/2023,200,13,Desktop,ABC.com,11 minutes,3%,50%
163,163,163,8/1/2023,400,12,Desktop,ABC.com,12 minutes,6%,20%
164,164,164,6/25/2023,500,6,Laptop,ABC.com,29 minutes,4%,50%
165,165,165,3/25/2023,20,15,Desktop,ABC.com,8 minutes,8%,90%
166,166,166,4/25/2023,80,12,Smartphone,ABC.com,20 minutes,8%,70%
167,167,167,12/23/2023,700,13,Desktop,ABC.com,15 minutes,5%,40%
168,168,168,11/13/2023,10,15,Smartphone,ABC.com,29 minutes,9%,40%
169,169,169,5/13/2023,30,16,Laptop,ABC.com,12 minutes,9%,40%
170,170,170,11/13/2023,500,10,Smartphone,ABC.com,8 minutes,4%,50%
171,171,171,8/5/2023,300,11,Laptop,ABC.com,10 minutes,6%,40%
172,172,172,6/4/2023,700,3,Smartphone,ABC.com,10 minutes,4%,20%
173,173,173,1/12/2023,20,6,Smartphone,ABC.com,20 minutes,2%,50%
174,174,174,5/30/2023,600,3,Smartphone,ABC.com,29 minutes,1%,70%
175,175,175,12/23/2023,800,15,Laptop,ABC.com,12 minutes,3%,20%
176,176,176,2/15/2023,40,14,Desktop,ABC.com,15 minutes,5%,40%
177,177,177,12/28/2023,700,16,Desktop,ABC.com,8 minutes,3%,60%
178,178,178,3/27/2023,70,10,Desktop,ABC.com,10 minutes,5%,60%
179,179,179,10/16/2023,300,18,Tablet,ABC.com,20 minutes,2%,90%
180,180,180,12/12/2023,70,3,Tablet,ABC.com,29 minutes,4%,20%
181,181,181,11/9/2023,400,10,Tablet,ABC.com,8 minutes,9%,70%
182,182,182,2/17/2023,10,11,Tablet,ABC.com,12 minutes,6%,20%
183,183,183,10/1/2023,100,18,Tablet,ABC.com,20 minutes,4%,20%
184,184,184,10/25/2023,300,10,Laptop,ABC.com,20 minutes,9%,70%
185,185,185,3/27/2023,80,3,Tablet,ABC.com,12 minutes,4%,90%
186,186,186,12/18/2023,90,14,Laptop,ABC.com,10 minutes,6%,90%
187,187,187,6/20/2023,100,15,Laptop,ABC.com,12 minutes,8%,50%
188,188,188,6/18/2023,400,11,Smartphone,ABC.com,29 minutes,2%,70%
189,189,189,11/16/2023,80,15,Desktop,ABC.com,10 minutes,1%,90%
190,190,190,8/23/2023,50,15,Smartphone,ABC.com,12 minutes,3%,50%
191,191,191,4/5/2023,60,13,Desktop,ABC.com,10 minutes,1%,40%
192,192,192,3/10/2023,1000,3,Smartphone,ABC.com,11 minutes,7%,30%
193,193,193,12/4/2023,50,3,Smartphone,ABC.com,10 minutes,9%,60%
194,194,194,4/9/2023,40,3,Laptop,ABC.com,29 minutes,3%,30%
195,195,195,5/13/2023,800,16,Tablet,ABC.com,12 minutes,5%,40%
196,196,196,7/17/2023,90,14,Desktop,ABC.com,15 minutes,5%,30%
197,197,197,3/5/2023,50,15,Desktop,ABC.com,10 minutes,8%,70%
198,198,198,11/5/2023,400,10,Tablet,ABC.com,20 minutes,1%,40%
199,199,199,12/11/2023,900,16,Laptop,ABC.com,8 minutes,5%,70%
200,200,200,8/29/2023,900,11,Laptop,ABC.com,20 minutes,2%,40%
201,201,201,9/23/2023,400,9,Desktop,ABC.com,8 minutes,7%,40%
202,202,202,2/12/2023,20,10,Desktop,ABC.com,29 minutes,2%,90%
203,203,203,8/24/2023,500,18,Desktop,ABC.com,29 minutes,1%,20%
204,204,204,5/31/2023,40,10,Smartphone,ABC.com,11 minutes,7%,90%
205,205,205,4/30/2023,700,12,Laptop,ABC.com,20 minutes,2%,70%
206,206,206,12/21/2023,300,11,Laptop,ABC.com,29 minutes,8%,50%
207,207,207,7/26/2023,800,12,Laptop,ABC.com,12 minutes,5%,70%
208,208,208,3/7/2023,500,6,Desktop,ABC.com,10 minutes,9%,20%
209,209,209,8/28/2023,200,13,Desktop,ABC.com,29 minutes,7%,30%
210,210,210,10/13/2023,400,11,Laptop,ABC.com,10 minutes,1%,70%
211,211,211,6/2/2023,40,3,Tablet,ABC.com,15 minutes,5%,20%
212,212,212,12/28/2023,60,11,Tablet,ABC.com,10 minutes,4%,70%
213,213,213,9/4/2023,80,18,Desktop,ABC.com,10 minutes,9%,60%
214,214,214,6/18/2023,100,12,Smartphone,ABC.com,8 minutes,9%,20%
215,215,215,11/17/2023,1000,9,Desktop,ABC.com,15 minutes,8%,90%
216,216,216,11/14/2023,1000,14,Tablet,ABC.com,11 minutes,4%,40%
217,217,217,2/10/2023,20,9,Tablet,ABC.com,10 minutes,9%,70%
218,218,218,10/1/2023,200,16,Laptop,ABC.com,20 minutes,2%,40%
219,219,219,8/7/2023,10,15,Smartphone,ABC.com,12 minutes,1%,60%
220,220,220,7/25/2023,800,20,Desktop,ABC.com,10 minutes,3%,90%
221,221,221,5/17/2023,70,15,Desktop,ABC.com,12 minutes,2%,60%
222,222,222,9/18/2023,700,9,Desktop,ABC.com,8 minutes,9%,60%
223,223,223,7/6/2023,800,6,Smartphone,ABC.com,12 minutes,9%,60%
224,224,224,7/29/2023,40,16,Tablet,ABC.com,8 minutes,2%,50%
225,225,225,10/20/2023,500,14,Tablet,ABC.com,12 minutes,2%,90%
226,226,226,6/6/2023,1000,11,Tablet,ABC.com,15 minutes,6%,30%
227,227,227,7/20/2023,200,14,Desktop,ABC.com,12 minutes,9%,50%
228,228,228,3/3/2023,800,3,Desktop,ABC.com,11 minutes,1%,40%
229,229,229,7/12/2023,600,12,Laptop,ABC.com,10 minutes,9%,70%
230,230,230,11/23/2023,800,16,Tablet,ABC.com,10 minutes,1%,20%
231,231,231,3/21/2023,700,9,Smartphone,ABC.com,11 minutes,9%,30%
232,232,232,6/10/2023,300,13,Desktop,ABC.com,29 minutes,4%,20%
233,233,233,3/25/2023,30,14,Laptop,ABC.com,20 minutes,2%,90%
234,234,234,8/25/2023,10,12,Desktop,ABC.com,15 minutes,7%,70%
235,235,235,11/5/2023,50,3,Smartphone,ABC.com,20 minutes,6%,40%
236,236,236,5/25/2023,900,15,Desktop,ABC.com,15 minutes,5%,60%
237,237,237,7/18/2023,300,14,Desktop,ABC.com,20 minutes,3%,60%
238,238,238,1/31/2023,90,6,Tablet,ABC.com,10 minutes,7%,30%
239,239,239,7/3/2023,700,13,Desktop,ABC.com,8 minutes,7%,30%
240,240,240,7/27/2023,50,11,Laptop,ABC.com,15 minutes,3%,50%
241,241,241,2/2/2023,900,9,Desktop,ABC.com,8 minutes,8%,60%
242,242,242,7/25/2023,80,10,Desktop,ABC.com,12 minutes,5%,20%
243,243,243,1/28/2023,20,14,Tablet,ABC.com,10 minutes,4%,50%
244,244,244,12/7/2023,50,12,Laptop,ABC.com,15 minutes,3%,20%
245,245,245,7/28/2023,300,18,Laptop,ABC.com,12 minutes,1%,30%
246,246,246,6/6/2023,200,11,Laptop,ABC.com,10 minutes,4%,20%
247,247,247,12/4/2023,100,6,Desktop,ABC.com,10 minutes,1%,70%
248,248,248,8/1/2023,100,18,Tablet,ABC.com,11 minutes,2%,60%
249,249,249,3/17/2023,1000,12,Tablet,ABC.com,8 minutes,6%,90%
250,250,250,6/28/2023,400,20,Laptop,ABC.com,20 minutes,5%,30%
251,251,251,3/4/2023,20,13,Smartphone,ABC.com,11 minutes,9%,50%
252,252,252,7/27/2023,300,9,Smartphone,ABC.com,11 minutes,8%,30%
253,253,253,3/22/2023,800,3,Tablet,ABC.com,29 minutes,7%,30%
254,254,254,7/9/2023,30,20,Smartphone,ABC.com,10 minutes,7%,20%
255,255,255,10/23/2023,10,10,Laptop,ABC.com,20 minutes,2%,30%
256,256,256,2/25/2023,900,11,Smartphone,ABC.com,15 minutes,8%,90%
257,257,257,9/24/2023,500,12,Smartphone,ABC.com,12 minutes,2%,50%
258,258,258,8/7/2023,700,9,Tablet,ABC.com,10 minutes,9%,50%
259,259,259,4/24/2023,80,12,Smartphone,ABC.com,10 minutes,7%,90%
260,260,260,4/29/2023,20,9,Desktop,ABC.com,10 minutes,5%,50%
261,261,261,12/5/2023,100,15,Desktop,ABC.com,29 minutes,5%,70%
262,262,262,11/16/2023,100,10,Smartphone,ABC.com,10 minutes,5%,50%
263,263,263,4/20/2023,500,12,Tablet,ABC.com,10 minutes,6%,50%
264,264,264,9/3/2023,700,10,Smartphone,ABC.com,10 minutes,5%,50%
265,265,265,2/14/2023,60,3,Desktop,ABC.com,20 minutes,3%,70%
266,266,266,4/20/2023,40,9,Tablet,ABC.com,12 minutes,4%,90%
267,267,267,4/20/2023,400,3,Smartphone,ABC.com,20 minutes,7%,70%
268,268,268,10/4/2023,40,9,Desktop,ABC.com,10 minutes,5%,60%
269,269,269,5/28/2023,200,18,Desktop,ABC.com,10 minutes,2%,60%
270,270,270,10/31/2023,400,11,Smartphone,ABC.com,10 minutes,9%,30%
271,271,271,6/9/2023,600,9,Laptop,ABC.com,8 minutes,1%,40%
272,272,272,10/28/2023,60,18,Laptop,ABC.com,29 minutes,4%,30%
273,273,273,11/12/2023,700,6,Smartphone,ABC.com,11 minutes,8%,90%
274,274,274,5/18/2023,600,14,Smartphone,ABC.com,10 minutes,9%,50%
275,275,275,9/5/2023,300,12,Tablet,ABC.com,10 minutes,4%,60%
276,276,276,2/28/2023,70,16,Smartphone,ABC.com,8 minutes,1%,20%
277,277,277,12/22/2023,800,9,Smartphone,ABC.com,12 minutes,7%,50%
278,278,278,9/2/2023,100,9,Smartphone,ABC.com,11 minutes,6%,30%
279,279,279,11/5/2023,1000,3,Laptop,ABC.com,29 minutes,8%,90%
280,280,280,7/27/2023,100,13,Desktop,ABC.com,8 minutes,1%,90%
281,281,281,1/5/2023,60,20,Smartphone,ABC.com,8 minutes,3%,40%
282,282,282,3/28/2023,60,11,Tablet,ABC.com,8 minutes,1%,60%
283,283,283,9/22/2023,80,13,Desktop,ABC.com,29 minutes,1%,50%
284,284,284,10/22/2023,70,14,Smartphone,ABC.com,12 minutes,9%,70%
285,285,285,1/2/2023,200,10,Tablet,ABC.com,29 minutes,6%,60%
286,286,286,4/6/2023,80,3,Desktop,ABC.com,12 minutes,1%,50%
287,287,287,9/4/2023,100,20,Laptop,ABC.com,12 minutes,5%,20%
288,288,288,1/26/2023,300,13,Tablet,ABC.com,15 minutes,3%,90%
289,289,289,8/7/2023,500,16,Tablet,ABC.com,12 minutes,1%,50%
290,290,290,10/28/2023,50,20,Laptop,ABC.com,29 minutes,9%,50%
291,291,291,11/4/2023,700,16,Tablet,ABC.com,10 minutes,4%,50%
292,292,292,4/6/2023,500,13,Tablet,ABC.com,29 minutes,9%,20%
293,293,293,7/3/2023,50,14,Laptop,ABC.com,29 minutes,4%,90%
294,294,294,7/6/2023,90,13,Laptop,ABC.com,15 minutes,4%,40%
295,295,295,5/20/2023,1000,15,Tablet,ABC.com,10 minutes,1%,60%
296,296,296,6/20/2023,10,15,Tablet,ABC.com,10 minutes,3%,60%
297,297,297,6/5/2023,40,18,Smartphone,ABC.com,8 minutes,9%,50%
298,298,298,12/21/2023,60,11,Tablet,ABC.com,15 minutes,6%,40%
299,299,299,12/5/2023,50,15,Desktop,ABC.com,15 minutes,3%,30%
300,300,300,2/17/2023,50,20,Smartphone,ABC.com,29 minutes,7%,30%
301,301,301,11/26/2023,100,14,Laptop,ABC.com,8 minutes,9%,40%
302,302,302,1/25/2023,50,15,Desktop,ABC.com,8 minutes,9%,20%
303,303,303,6/22/2023,40,3,Smartphone,ABC.com,29 minutes,8%,70%
304,304,304,3/31/2023,400,9,Tablet,ABC.com,11 minutes,6%,50%
305,305,305,4/27/2023,20,10,Desktop,ABC.com,20 minutes,3%,60%
306,306,306,5/24/2023,80,3,Tablet,ABC.com,8 minutes,4%,30%
307,307,307,5/6/2023,90,14,Tablet,ABC.com,29 minutes,3%,60%
308,308,308,3/30/2023,40,3,Smartphone,ABC.com,29 minutes,8%,20%
309,309,309,6/7/2023,80,18,Smartphone,ABC.com,10 minutes,8%,30%
310,310,310,7/30/2023,800,15,Laptop,ABC.com,12 minutes,9%,20%
311,311,311,11/27/2023,10,20,Laptop,ABC.com,8 minutes,3%,50%
312,312,312,1/29/2023,100,6,Desktop,ABC.com,20 minutes,7%,60%
313,313,313,7/28/2023,900,10,Tablet,ABC.com,10 minutes,7%,70%
314,314,314,9/25/2023,10,3,Smartphone,ABC.com,11 minutes,4%,30%
315,315,315,2/17/2023,600,20,Smartphone,ABC.com,11 minutes,9%,70%
316,316,316,2/24/2023,40,13,Tablet,ABC.com,8 minutes,3%,40%
317,317,317,10/17/2023,90,13,Tablet,ABC.com,11 minutes,1%,90%
318,318,318,8/30/2023,10,20,Desktop,ABC.com,29 minutes,2%,50%
319,319,319,4/18/2023,200,18,Laptop,ABC.com,11 minutes,1%,90%
320,320,320,12/18/2023,30,15,Smartphone,ABC.com,20 minutes,4%,90%
321,321,321,10/17/2023,200,9,Smartphone,ABC.com,20 minutes,7%,50%
322,322,322,1/6/2023,10,3,Laptop,ABC.com,11 minutes,6%,90%
323,323,323,5/7/2023,10,16,Desktop,ABC.com,8 minutes,9%,70%
324,324,324,12/2/2023,500,9,Smartphone,ABC.com,10 minutes,8%,90%
325,325,325,4/7/2023,40,14,Smartphone,ABC.com,20 minutes,6%,90%
326,326,326,6/20/2023,800,3,Tablet,ABC.com,11 minutes,5%,70%
327,327,327,11/3/2023,600,12,Tablet,ABC.com,29 minutes,2%,50%
328,328,328,8/16/2023,900,10,Smartphone,ABC.com,12 minutes,9%,60%
329,329,329,3/26/2023,60,20,Laptop,ABC.com,10 minutes,8%,40%
330,330,330,5/5/2023,40,15,Laptop,ABC.com,15 minutes,5%,70%
331,331,331,5/17/2023,20,13,Tablet,ABC.com,12 minutes,3%,70%
332,332,332,10/13/2023,60,20,Tablet,ABC.com,29 minutes,5%,90%
333,333,333,10/19/2023,30,10,Laptop,ABC.com,11 minutes,2%,50%
334,334,334,7/29/2023,500,15,Laptop,ABC.com,8 minutes,1%,70%
335,335,335,11/27/2023,100,14,Desktop,ABC.com,10 minutes,8%,50%
336,336,336,11/2/2023,70,12,Laptop,ABC.com,15 minutes,6%,30%
337,337,337,8/28/2023,80,14,Desktop,ABC.com,10 minutes,3%,30%
338,338,338,5/25/2023,900,3,Smartphone,ABC.com,10 minutes,1%,90%
339,339,339,6/11/2023,50,6,Laptop,ABC.com,11 minutes,8%,90%
340,340,340,11/26/2023,20,13,Tablet,ABC.com,20 minutes,3%,60%
341,341,341,12/21/2023,1000,12,Smartphone,ABC.com,20 minutes,4%,30%
342,342,342,3/3/2023,1000,15,Smartphone,ABC.com,11 minutes,4%,30%
343,343,343,12/26/2023,800,12,Smartphone,ABC.com,10 minutes,5%,40%
344,344,344,6/23/2023,80,12,Laptop,ABC.com,29 minutes,3%,20%
345,345,345,3/24/2023,1000,9,Tablet,ABC.com,8 minutes,8%,90%
